epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,728.83,0.35835,0.50984,0.87619,0.99064,0.99277,0.995,0.9799,0.25959,0.23138,0.78259,0.000885523,0.000885523,0.000885523
43,748.888,0.3554,0.51354,0.8738,0.97859,0.9656,0.99299,0.97028,0.2654,0.27067,0.78063,0.000880023,0.000880023,0.000880023
44,770.972,0.36069,0.52131,0.88956,0.93722,0.95131,0.97927,0.96053,0.25439,0.32183,0.78009,0.000874524,0.000874524,0.000874524
45,788.149,0.35901,0.51675,0.87829,0.97488,0.95896,0.98819,0.96574,0.25597,0.28288,0.7819,0.000869024,0.000869024,0.000869024
46,803.415,0.36383,0.5274,0.88484,0.98599,0.98848,0.99431,0.97745,0.25859,0.2257,0.78278,0.000863525,0.000863525,0.000863525
47,818.768,0.35979,0.51893,0.89428,0.99111,0.99408,0.995,0.97945,0.24735,0.21152,0.77934,0.000858025,0.000858025,0.000858025
48,837.367,0.36669,0.51405,0.88352,0.99074,0.99819,0.995,0.97767,0.24181,0.22311,0.78023,0.000852526,0.000852526,0.000852526
49,855.751,0.36246,0.53338,0.88506,0.98689,0.99654,0.99452,0.97354,0.26552,0.23502,0.78866,0.000847026,0.000847026,0.000847026
50,874.233,0.3485,0.48544,0.87067,0.99539,1,0.995,0.98204,0.25111,0.21239,0.78794,0.000841527,0.000841527,0.000841527
51,890.927,0.34705,0.4948,0.87608,0.99359,0.99422,0.995,0.97936,0.24152,0.21453,0.78375,0.000836027,0.000836027,0.000836027
52,907.345,0.34449,0.50708,0.87167,0.99401,0.96815,0.99384,0.96029,0.26429,0.25748,0.78974,0.000830528,0.000830528,0.000830528
53,923.261,0.34984,0.50491,0.88891,0.96339,0.96576,0.98971,0.95845,0.26008,0.29666,0.78495,0.000825029,0.000825029,0.000825029
54,939.981,0.33929,0.46271,0.87287,0.96376,0.97667,0.98828,0.96282,0.25236,0.27985,0.78355,0.000819529,0.000819529,0.000819529
55,955.975,0.33083,0.48303,0.86838,0.93557,0.99353,0.99367,0.97127,0.25457,0.262,0.78732,0.00081403,0.00081403,0.00081403
56,973.984,0.35379,0.50371,0.88764,0.97906,1,0.995,0.97731,0.24277,0.21192,0.78539,0.00080853,0.00080853,0.00080853
57,989.138,0.35266,0.51819,0.89023,0.98514,0.97856,0.99345,0.96972,0.259,0.24155,0.78523,0.000803031,0.000803031,0.000803031
58,1005.82,0.35225,0.50156,0.88672,0.96915,0.98785,0.99156,0.97797,0.24773,0.24138,0.7838,0.000797531,0.000797531,0.000797531
59,1025.01,0.33982,0.4567,0.86529,0.93947,0.93199,0.97739,0.95423,0.2643,0.33653,0.79183,0.000792032,0.000792032,0.000792032
60,1042.34,0.32686,0.48803,0.86603,0.97764,0.99244,0.99402,0.9744,0.24429,0.20395,0.78003,0.000786532,0.000786532,0.000786532
61,1057.78,0.35011,0.51178,0.88341,0.98123,0.99763,0.995,0.98337,0.25178,0.21069,0.78034,0.000781033,0.000781033,0.000781033
62,1076.16,0.35459,0.46985,0.88288,0.93907,1,0.99218,0.97639,0.24458,0.24034,0.7819,0.000775534,0.000775534,0.000775534
63,1096.49,0.34417,0.48173,0.87334,0.99026,0.99031,0.9946,0.98067,0.24438,0.21167,0.78163,0.000770034,0.000770034,0.000770034
64,1113.95,0.33138,0.46985,0.87841,0.98417,0.98943,0.99468,0.97844,0.24282,0.22255,0.78124,0.000764535,0.000764535,0.000764535
65,1132.47,0.32555,0.47993,0.86167,0.9895,0.98249,0.99425,0.97861,0.24644,0.22295,0.78164,0.000759035,0.000759035,0.000759035
